iter	RMSE
0	0.07615230706
1	0.07521981556
2	0.07418473792
3	0.07292163735
4	0.07185888845
5	0.07102412523
6	0.06998989381
7	0.06869361196
8	0.06808217273
9	0.06685075486
10	0.06622949381
11	0.0659486994
12	0.06548865174
13	0.06417352834
14	0.06389309419
15	0.0634611466
16	0.06314476888
17	0.06276388311
18	0.06220064363
19	0.06157608157
20	0.06147315011
21	0.06099697276
22	0.05996624232
23	0.0593203501
24	0.05869076156
25	0.05771232618
26	0.05665458438
27	0.05614961299
28	0.05569162399
29	0.05522297852
30	0.05490419865
31	0.05402651732
32	0.05362649913
33	0.05334193622
34	0.05262025212
35	0.05206016628
36	0.05155682087
37	0.05114065715
38	0.05001126423
39	0.04943484222
40	0.04824920674
41	0.04781433218
42	0.04762551744
43	0.04727183002
44	0.04676098489
45	0.04613920595
46	0.04586178492
47	0.04572744402
48	0.04534313965
49	0.04511190232
50	0.04429242833
51	0.04411986595
52	0.04366614172
53	0.04315139154
54	0.04244353286
55	0.04209710286
56	0.04164675005
57	0.04091876674
58	0.04061851063
59	0.04043344255
60	0.04030476492
61	0.03991831104
62	0.03941072999
63	0.03911790007
64	0.03883406445
65	0.03839605492
66	0.03814059254
67	0.03782748581
68	0.03692379471
69	0.03632327853
70	0.03596172636
71	0.03552500614
72	0.03519724264
73	0.03495918076
74	0.03470274935
75	0.034200404
76	0.03368723891
77	0.03345832185
78	0.03284603332
79	0.03260187801
80	0.03225824297
81	0.03186897382
82	0.03145948743
83	0.03124896279
84	0.03083570931
85	0.0306219554
86	0.03038153974
87	0.03008221733
88	0.02977948145
89	0.02966601676
90	0.02949441622
91	0.02922035084
92	0.02901286268
93	0.02886994873
94	0.02841995709
95	0.02797297203
96	0.02789330912
97	0.02761878586
98	0.02738159017
99	0.02730949169
100	0.02689362409
101	0.02661422987
102	0.02639898324
103	0.02623999447
104	0.02565187071
105	0.02547893931
106	0.0252508155
107	0.02486262024
108	0.02441236667
109	0.02425514474
110	0.02418621243
111	0.02394809497
112	0.02379234521
113	0.0236325216
114	0.02320048132
115	0.02314760079
116	0.02285099843
117	0.02252411312
